param nv := 7;
param: xv	  yv:=
0   188    -121
1   193    112
2   19    223
3   -169    146
4   -208    81
5   -220    39
6   -223    -9
;
param np := 447;
param : xp	 yp :=
0   -229  -34
1   -229  -19
2   -229  -4
3   -229  11
4   -229  26
5   -229  41
6   -229  56
7   -229  71
8   -229  86
9   -229  101
10   -229  116
11   -229  131
12   -214  -64
13   -214  -49
14   -214  -34
15   -214  -19
16   -214  71
17   -214  86
18   -214  101
19   -214  116
20   -214  131
21   -214  146
22   -214  161
23   -199  -79
24   -199  -64
25   -199  -49
26   -199  -34
27   -199  -19
28   -199  101
29   -199  116
30   -199  131
31   -199  146
32   -199  161
33   -199  176
34   -199  191
35   -184  -109
36   -184  -94
37   -184  -79
38   -184  -64
39   -184  -49
40   -184  -34
41   -184  131
42   -184  146
43   -184  161
44   -184  176
45   -184  191
46   -184  206
47   -169  -124
48   -169  -109
49   -169  -94
50   -169  -79
51   -169  -64
52   -169  -49
53   -169  -34
54   -169  161
55   -169  176
56   -169  191
57   -169  206
58   -169  221
59   -154  -139
60   -154  -124
61   -154  -109
62   -154  -94
63   -154  -79
64   -154  -64
65   -154  -49
66   -154  -34
67   -154  161
68   -154  176
69   -154  191
70   -154  206
71   -154  221
72   -154  236
73   -139  -139
74   -139  -124
75   -139  -109
76   -139  -94
77   -139  -79
78   -139  -64
79   -139  -49
80   -139  -34
81   -139  161
82   -139  176
83   -139  191
84   -139  206
85   -139  221
86   -139  236
87   -139  251
88   -124  -154
89   -124  -139
90   -124  -124
91   -124  -109
92   -124  -94
93   -124  -79
94   -124  -64
95   -124  -49
96   -124  176
97   -124  191
98   -124  206
99   -124  221
100   -124  236
101   -124  251
102   -109  -169
103   -109  -154
104   -109  -139
105   -109  -124
106   -109  -109
107   -109  -94
108   -109  -79
109   -109  -64
110   -109  -49
111   -109  176
112   -109  191
113   -109  206
114   -109  221
115   -109  236
116   -109  251
117   -109  266
118   -94  -169
119   -94  -154
120   -94  -139
121   -94  -124
122   -94  -109
123   -94  -94
124   -94  -79
125   -94  -64
126   -94  -49
127   -94  191
128   -94  206
129   -94  221
130   -94  236
131   -94  251
132   -94  266
133   -79  -184
134   -79  -169
135   -79  -154
136   -79  -139
137   -79  -124
138   -79  -109
139   -79  -94
140   -79  -79
141   -79  -64
142   -79  -49
143   -79  191
144   -79  206
145   -79  221
146   -79  236
147   -79  251
148   -79  266
149   -79  281
150   -64  -184
151   -64  -169
152   -64  -154
153   -64  -139
154   -64  -124
155   -64  -109
156   -64  -94
157   -64  -79
158   -64  -64
159   -64  191
160   -64  206
161   -64  221
162   -64  236
163   -64  251
164   -64  266
165   -64  281
166   -49  -184
167   -49  -169
168   -49  -154
169   -49  -139
170   -49  -124
171   -49  -109
172   -49  -94
173   -49  -79
174   -49  -64
175   -49  206
176   -49  221
177   -49  236
178   -49  251
179   -49  266
180   -49  281
181   -34  -184
182   -34  -169
183   -34  -154
184   -34  -139
185   -34  -124
186   -34  -109
187   -34  -94
188   -34  -79
189   -34  -64
190   -34  206
191   -34  221
192   -34  236
193   -34  251
194   -34  266
195   -34  281
196   -34  296
197   -19  -184
198   -19  -169
199   -19  -154
200   -19  -139
201   -19  -124
202   -19  -109
203   -19  -94
204   -19  -79
205   -19  221
206   -19  236
207   -19  251
208   -19  266
209   -19  281
210   -19  296
211   -4  -184
212   -4  -169
213   -4  -154
214   -4  -139
215   -4  -124
216   -4  -109
217   -4  -94
218   -4  -79
219   -4  221
220   -4  236
