heuristic;points;hyperplane_budget;jaccard_index;time;exceptions
CuttingSmallerAngle;4;3;0.5069857993586807;4628590;false
CuttingSmallerAngle2;4;3;0.5065850865607749;316116;false
CuttingLargerAngle;4;3;0.5656207054512139;114079;false
CuttingLargerAngle2;4;3;0.56232523988372;190635;false
DistanceFromG;4;3;0.5656207054512139;1691606;false
CuttingEdges;4;3;0.2529794152830085;359889;false
LessArea;4;3;0.0;4331103;false
DistanceFromG2;4;3;0.5656207054512139;1142499;false
CuttingSmallerAngle;4;3;0.8070196217774093;373723;false
CuttingSmallerAngle2;4;3;0.8083522872278088;113594;false
CuttingLargerAngle;4;3;0.9797465355916144;80477;false
CuttingLargerAngle2;4;3;0.9804039763328892;120542;false
DistanceFromG;4;3;0.9797465355916144;101411;false
CuttingEdges;4;3;0.9945113075824146;141325;false
LessArea;4;3;0.0;1647142;false
DistanceFromG2;4;3;0.9797465355916144;334496;false
CuttingSmallerAngle;4;3;0.39758944568109017;82019;false
CuttingSmallerAngle2;4;3;0.39895825578433997;160711;false
CuttingLargerAngle;4;3;0.9656333134263532;93792;false
CuttingLargerAngle2;4;3;0.968642608096758;140127;false
DistanceFromG;4;3;0.9656333134263532;251366;false
CuttingEdges;4;3;0.974683805180115;135974;false
LessArea;4;3;0.0;895015;false
DistanceFromG2;4;3;0.9656333134263532;329080;false
CuttingSmallerAngle;4;3;0.2306772908366534;47236;false
CuttingSmallerAngle2;4;3;0.23084100838362606;84936;false
CuttingLargerAngle;4;3;0.595883134130146;89678;false
CuttingLargerAngle2;4;3;0.595404816309294;83903;false
DistanceFromG;4;3;0.595883134130146;109702;false
CuttingEdges;4;3;0.7922091710054959;122636;false
LessArea;4;3;0.7922091710054959;926948;false
DistanceFromG2;4;3;0.7693227091633467;426996;false
CuttingSmallerAngle;4;3;0.12601626016260162;91249;false
CuttingSmallerAngle2;4;3;0.12605785425842925;144731;false
CuttingLargerAngle;4;3;0.38746978686003075;58768;false
CuttingLargerAngle2;4;3;0.38994411063155016;159414;false
DistanceFromG;4;3;0.38746978686003075;119978;false
CuttingEdges;4;3;0.909134105901889;64319;false
LessArea;4;3;0.7716133106281419;741555;false
DistanceFromG2;4;3;0.6125302131399692;238508;false
CuttingSmallerAngle;5;3;0.4405108324713116;40591;false
CuttingSmallerAngle2;5;3;0.3171603941057864;115048;false
CuttingLargerAngle;5;3;0.559634180531521;64052;false
CuttingLargerAngle2;5;3;0.5584203849164575;62459;false
DistanceFromG;5;3;0.559634180531521;98266;false
CuttingEdges;5;3;0.32918069334771544;135357;false
LessArea;5;3;0.0;1440116;false
DistanceFromG2;5;3;0.559634180531521;354296;false
CuttingSmallerAngle;5;4;0.5178027629810806;117978;false
CuttingSmallerAngle2;5;4;0.5971088614693284;121844;false
CuttingLargerAngle;5;4;0.982627442260656;87890;false
CuttingLargerAngle2;5;4;0.9809407627432116;69854;false
DistanceFromG;5;4;0.9538085248310598;226923;false
CuttingEdges;5;4;0.9962343956712665;114858;false
LessArea;5;4;0.9962343956712665;1142695;false
DistanceFromG2;5;4;0.982627442260656;253594;false
CuttingSmallerAngle;5;3;0.005326805624456137;69013;false
CuttingSmallerAngle2;5;3;0.007733049117818941;173665;false
CuttingLargerAngle;5;3;0.6216748127485504;120141;false
CuttingLargerAngle2;5;3;0.6223541679611108;103611;false
DistanceFromG;5;3;0.5224905052739441;161125;false
CuttingEdges;5;3;0.4635329076107852;116204;false
LessArea;5;3;0.4604873031988096;1207929;false
DistanceFromG2;5;3;0.6216748127485504;206858;false
CuttingSmallerAngle;5;4;0.37832518725144965;72284;false
CuttingSmallerAngle2;5;4;0.3895825364771167;82277;false
CuttingLargerAngle;5;4;0.9946731943755439;47566;false
CuttingLargerAngle2;5;4;0.9940514409888067;69631;false
DistanceFromG;5;4;0.9946731943755439;312781;false
CuttingEdges;5;4;0.9968429441501884;238130;false
LessArea;5;4;0.9968429441501884;1165948;false
DistanceFromG2;5;4;0.9946731943755439;436846;false
CuttingSmallerAngle;5;3;0.0537073213400589;56999;false
CuttingSmallerAngle2;5;3;0.01334350848641615;81488;false
CuttingLargerAngle;5;3;0.8805434877686095;56473;false
CuttingLargerAngle2;5;3;0.8707754788297671;61750;false
DistanceFromG;5;3;0.8805434877686095;82201;false
CuttingEdges;5;3;0.947755556675539;90587;false
LessArea;5;3;0.9488411385058287;509911;false
DistanceFromG2;5;3;0.8805434877686095;206170;false
CuttingSmallerAngle;5;4;0.1806280432690906;53212;false
CuttingSmallerAngle2;5;4;0.19351625527128177;58121;false
CuttingLargerAngle;5;4;0.9645741610053358;81065;false
CuttingLargerAngle2;5;4;0.9672566000618998;57105;false
DistanceFromG;5;4;0.9645741610053358;261865;false
CuttingEdges;5;4;0.9835190915414265;54443;false
LessArea;5;4;0.9835190915414265;404889;false
DistanceFromG2;5;4;0.9645741610053358;213009;false
CuttingSmallerAngle;5;3;0.24415874790385692;33444;false
CuttingSmallerAngle2;5;3;0.14534688716389652;69415;false
CuttingLargerAngle;5;3;0.44446010644761463;33148;false
CuttingLargerAngle2;5;3;0.47224596642061467;41895;false
DistanceFromG;5;3;0.44446010644761463;68501;false
CuttingEdges;5;3;0.6077481560365353;129490;false
LessArea;5;3;0.3512865338128333;307763;false
DistanceFromG2;5;3;0.4760590079471164;119791;false
CuttingSmallerAngle;5;4;0.4389433008481785;44785;false
CuttingSmallerAngle2;5;4;0.4826240713107202;70027;false
CuttingLargerAngle;5;4;0.9205191143947311;52641;false
CuttingLargerAngle2;5;4;0.9298953498377707;128725;false
DistanceFromG;5;4;0.9205191143947311;222666;false
CuttingEdges;5;4;0.9694958942868517;111869;false
LessArea;5;4;0.6204303021998808;465563;false
DistanceFromG2;5;4;0.9205191143947311;294997;false
CuttingSmallerAngle;5;3;0.0471786429078701;57345;false
CuttingSmallerAngle2;5;3;0.12850244874766145;72450;false
CuttingLargerAngle;5;3;0.6472254503195817;49155;false
CuttingLargerAngle2;5;3;0.6443530941510801;57538;false
DistanceFromG;5;3;0.6472254503195817;68709;false
CuttingEdges;5;3;0.4843556366027872;99784;false
LessArea;5;3;0.4213605484788646;418849;false
DistanceFromG2;5;3;0.6472254503195817;206519;false
CuttingSmallerAngle;5;4;0.5549341468138679;65175;false
CuttingSmallerAngle2;5;4;0.6302229286436246;66293;false
CuttingLargerAngle;5;4;0.9957550519723675;52964;false
CuttingLargerAngle2;5;4;0.9924925697775809;75922;false
DistanceFromG;5;4;0.9957550519723675;150078;false
CuttingEdges;5;4;0.9977126012670007;70737;false
LessArea;5;4;0.9977126012670007;502705;false
DistanceFromG2;5;4;0.9957550519723675;204908;false
CuttingSmallerAngle;6;3;0.14899765215820843;32407;false
CuttingSmallerAngle2;6;3;0.015853395580387952;61840;false
CuttingLargerAngle;6;3;0.6259225814219493;83963;false
CuttingLargerAngle2;6;3;0.6252705515675994;68487;false
DistanceFromG;6;3;0.3096020709168623;101191;false
CuttingEdges;6;3;0.7769639220909744;77399;false
LessArea;6;3;0.7786929935493424;578591;false
DistanceFromG2;6;3;0.6084281500210704;293647;false
CuttingSmallerAngle;6;4;0.4680633315273012;61632;false
CuttingSmallerAngle2;6;4;0.4511238675949256;135085;false
CuttingLargerAngle;6;4;0.9180302209379327;47544;false
CuttingLargerAngle2;6;4;0.9185781716468843;48291;false
DistanceFromG;6;4;0.9180302209379327;161545;false
CuttingEdges;6;4;0.9593734216581702;91572;false
LessArea;6;4;0.7920967417907196;743594;false
DistanceFromG2;6;4;0.9180302209379327;402650;false
CuttingSmallerAngle;6;5;0.7954608392029379;48070;false
CuttingSmallerAngle2;6;5;0.823665917652425;45865;false
CuttingLargerAngle;6;5;0.9655649870567696;37305;false
CuttingLargerAngle2;6;5;0.9665263862339681;78385;false
DistanceFromG;6;5;0.9655649870567696;291118;false
CuttingEdges;6;5;0.9819604993622475;81725;false
LessArea;6;5;0.8048164518396796;1056184;false
DistanceFromG2;6;5;0.9655649870567696;485270;false
CuttingSmallerAngle;6;3;0.25719577847662706;53026;false
CuttingSmallerAngle2;6;3;0.09754515543306465;82055;false
CuttingLargerAngle;6;3;0.7186983636266724;45957;false
CuttingLargerAngle2;6;3;0.7277191436448458;80795;false
DistanceFromG;6;3;0.20154176216619582;36784;false
CuttingEdges;6;3;0.8648387847307586;119031;false
LessArea;6;3;8.805420742728234E-5;543062;false
DistanceFromG2;6;3;0.4386759767603006;225810;false
CuttingSmallerAngle;6;4;0.6293041415702788;24457;false
CuttingSmallerAngle2;6;4;0.7600795356795007;52507;false
CuttingLargerAngle;6;4;0.9202401257928682;40585;false
CuttingLargerAngle2;6;4;0.9203117902741945;41877;false
DistanceFromG;6;4;0.5577727733063269;98664;false
CuttingEdges;6;4;0.9340487658685256;87020;false
LessArea;6;4;0.8293466926276284;772546;false
DistanceFromG2;6;4;0.8186996961782421;327156;false
CuttingSmallerAngle;6;5;0.8431520174830766;86232;false
CuttingSmallerAngle2;6;5;0.9534819503906067;42188;false
CuttingLargerAngle;6;5;0.9964487500666276;27747;false
CuttingLargerAngle2;6;5;0.9949294535406736;24210;false
DistanceFromG;6;5;0.9964487500666276;285408;false
CuttingEdges;6;5;0.9974514494726034;54069;false
LessArea;6;5;0.921286556160555;472495;false
DistanceFromG2;6;5;0.9964487500666276;306917;false
CuttingSmallerAngle;6;3;0.01856670554861509;42607;false
CuttingSmallerAngle2;6;3;0.00605044224819299;65073;false
CuttingLargerAngle;6;3;0.8120276360925712;45800;false
CuttingLargerAngle2;6;3;0.7585400818880533;69337;false
DistanceFromG;6;3;0.15042482554889117;66212;false
CuttingEdges;6;3;0.9153800353369028;62956;false
LessArea;6;3;0.9153800353369028;605270;false
DistanceFromG2;6;3;0.8120276360925712;460894;false
CuttingSmallerAngle;6;4;0.32580772071257497;54295;false
CuttingSmallerAngle2;6;4;0.23455746205646155;54313;false
CuttingLargerAngle;6;4;0.8434944058309118;39471;false
CuttingLargerAngle2;6;4;0.8632849732221322;55206;false
DistanceFromG;6;4;0.8879095546061304;97013;false
CuttingEdges;6;4;0.9808890058889335;65668;false
LessArea;6;4;0.9808890058889335;322730;false
DistanceFromG2;6;4;0.9133231642083612;353114;false
CuttingSmallerAngle;6;5;0.4413216181332523;50934;false
CuttingSmallerAngle2;6;5;0.5348963010040694;52130;false
CuttingLargerAngle;6;5;0.9116045360739355;28709;false
CuttingLargerAngle2;6;5;0.9147882764219254;36038;false
DistanceFromG;6;5;0.9116045360739355;577644;false
CuttingEdges;6;5;0.9971299634185982;105929;false
LessArea;6;5;0.9971299634185982;747959;false
DistanceFromG2;6;5;0.976305018532195;432079;false
CuttingSmallerAngle;6;3;0.14870266765707318;42072;false
CuttingSmallerAngle2;6;3;0.22968576297066615;55910;false
CuttingLargerAngle;6;3;0.6715213760353111;43323;false
CuttingLargerAngle2;6;3;0.6742438736258392;62331;false
DistanceFromG;6;3;0.6715213760353111;49795;false
CuttingEdges;6;3;0.6837704252935897;54818;false
LessArea;6;3;0.0;246636;false
DistanceFromG2;6;3;0.6715213760353111;248658;false
CuttingSmallerAngle;6;4;0.5339178449212326;36426;false
CuttingSmallerAngle2;6;4;0.5923734252071255;52335;false
CuttingLargerAngle;6;4;0.9054920330956071;33444;false
CuttingLargerAngle2;6;4;0.9070106988179155;45870;false
DistanceFromG;6;4;0.7381848940107599;103174;false
CuttingEdges;6;4;0.9616674658518753;66701;false
