heuristic,points,hyperplane_budget,jaccard_index,time,exceptions,regularity
CuttingLargerAngle2,4,3,0.5801784841945242,2420290,false,51
DistanceFromG,4,3,0.5802279732318885,1640691,false,51
CuttingEdges,4,3,0.8678717111117886,251233,false,51
LessArea,4,3,0.8678717111117886,3730141,false,51
CuttingLargerAngle2,4,3,0.8995517687005952,134690,false,53
DistanceFromG,4,3,0.2972257843119548,168469,false,53
CuttingEdges,4,3,0.951210883152096,125468,false,53
LessArea,4,3,0.7351024932741862,1387599,false,53
CuttingLargerAngle2,4,3,0.8968492293112303,124846,false,58
DistanceFromG,4,3,0.27206316203534603,105569,false,58
CuttingEdges,4,3,0.9590142447822364,94424,false,58
LessArea,4,3,0.9590142447822364,991916,false,58
CuttingLargerAngle2,4,3,0.9668741296415871,180248,false,54
DistanceFromG,4,3,0.9770350625384457,108812,false,54
CuttingEdges,4,3,0.9909703098671114,145336,false,54
LessArea,4,3,0.9909703098671114,546475,false,54
CuttingLargerAngle2,4,3,0.7626537058752006,73446,false,27
DistanceFromG,4,3,0.7603824931965146,139385,false,27
CuttingEdges,4,3,0.7942909188631323,97546,false,27
LessArea,4,3,0.7942909188631323,778537,false,27
CuttingLargerAngle2,5,3,0.7890708652225579,161778,false,36
DistanceFromG,5,3,0.7821335850837857,145111,false,36
CuttingEdges,5,3,0.800851952983255,272036,false,36
LessArea,5,3,0.7739115904962887,853578,false,36
CuttingLargerAngle2,5,4,0.9031295185448118,64020,false,36
DistanceFromG,5,4,0.8997639839509086,447635,false,36
CuttingEdges,5,4,0.8929514628869454,158301,false,36
LessArea,5,4,0.8533229758567168,1580491,false,36
CuttingLargerAngle2,5,3,0.5076970168659053,146639,false,28
DistanceFromG,5,3,0.4193004560699899,125354,false,28
CuttingEdges,5,3,0.5547869808545436,112126,false,28
LessArea,5,3,0.5279911866522422,1341500,false,28
CuttingLargerAngle2,5,4,0.9086628600755544,100227,false,28
DistanceFromG,5,4,0.7173963194974358,231636,false,28
CuttingEdges,5,4,0.9182556379767285,86688,false,28
LessArea,5,4,0.5691874209661844,1322709,false,28
CuttingLargerAngle2,5,3,0.5920310448476431,189638,false,46
DistanceFromG,5,3,0.6280704589528119,83731,false,46
CuttingEdges,5,3,0.8746215908114384,83979,false,46
LessArea,5,3,0.8746215908114384,1046957,false,46
CuttingLargerAngle2,5,4,0.8857331884802606,72149,false,46
DistanceFromG,5,4,0.8737950029510132,349307,false,46
CuttingEdges,5,4,0.9641033653042139,103440,false,46
LessArea,5,4,0.9641033653042139,1202218,false,46
CuttingLargerAngle2,5,3,0.4688248661051394,81363,false,59
DistanceFromG,5,3,0.4662923569649282,93150,false,59
CuttingEdges,5,3,0.580739529516497,91179,false,59
LessArea,5,3,0.0,783227,false,59
CuttingLargerAngle2,5,4,0.7657733624493,80861,false,59
DistanceFromG,5,4,0.7273437191095646,344878,false,59
CuttingEdges,5,4,0.9324020888657617,252372,false,59
LessArea,5,4,0.9324020888657617,468677,false,59
CuttingLargerAngle2,5,3,0.6623546868574145,97020,false,56
DistanceFromG,5,3,0.6512355555555556,53935,false,56
CuttingEdges,5,3,0.7246298520840575,70691,false,56
LessArea,5,3,0.7299584930647095,437765,false,56
CuttingLargerAngle2,5,4,0.9711715426491012,89224,false,56
DistanceFromG,5,4,0.965357037037037,189302,false,56
CuttingEdges,5,4,0.9939199888119294,113197,false,56
LessArea,5,4,0.9939199888119294,633234,false,56
CuttingLargerAngle2,6,3,0.8412117205309263,90030,false,65
DistanceFromG,6,3,0.48279155578050253,89201,false,65
CuttingEdges,6,3,0.8641506211676449,160716,false,65
LessArea,6,3,0.8641506211676449,503642,false,65
CuttingLargerAngle2,6,4,0.9437542224857914,81532,false,65
DistanceFromG,6,4,0.8844960734052801,148038,false,65
CuttingEdges,6,4,0.9486985460061119,87659,false,65
LessArea,6,4,0.9346972672728336,476041,false,65
CuttingLargerAngle2,6,5,0.9564986462909233,46002,false,65
DistanceFromG,6,5,0.9869957060523437,279316,false,65
CuttingEdges,6,5,0.9929967942209609,54417,false,65
LessArea,6,5,0.9929967942209609,622399,false,65
CuttingLargerAngle2,6,3,0.6935195464061307,87824,false,75
DistanceFromG,6,3,0.08117893759205914,101961,false,75
CuttingEdges,6,3,0.9136624464344096,114197,false,75
LessArea,6,3,0.9141214566246477,463334,false,75
CuttingLargerAngle2,6,4,0.8331875101575523,64292,false,75
DistanceFromG,6,4,0.2404022667411605,93047,false,75
CuttingEdges,6,4,0.9597981041509472,81280,false,75
LessArea,6,4,0.9165337935028821,382537,false,75
CuttingLargerAngle2,6,5,0.9873526286012734,84557,false,75
DistanceFromG,6,5,0.8721293870946677,222878,false,75
CuttingEdges,6,5,0.9966194959223813,55427,false,75
LessArea,6,5,0.9631595630746036,483769,false,75
CuttingLargerAngle2,6,3,0.690808724213385,139095,false,69
DistanceFromG,6,3,0.21281121730533,94470,false,69
CuttingEdges,6,3,0.9099153704729809,125398,false,69
LessArea,6,3,0.913089833531175,342627,false,69
CuttingLargerAngle2,6,4,0.825767517981255,77740,false,69
DistanceFromG,6,4,0.7702160170177068,125270,false,69
CuttingEdges,6,4,0.941245990746616,80022,false,69
LessArea,6,4,0.9362203073974945,340216,false,69
CuttingLargerAngle2,6,5,0.9508372634742821,49475,false,69
DistanceFromG,6,5,0.9417263384965695,177348,false,69
CuttingEdges,6,5,0.9750458638160759,56476,false,69
LessArea,6,5,0.9660175434002173,379436,false,69
CuttingLargerAngle2,6,3,0.7779916508338386,68194,false,53
DistanceFromG,6,3,0.8077252796672101,103899,false,53
CuttingEdges,6,3,0.9092918768170911,227547,false,53
LessArea,6,3,0.9119987646113735,533872,false,53
CuttingLargerAngle2,6,4,0.952445054104705,57340,false,53
DistanceFromG,6,4,0.9056088031929844,134272,false,53
CuttingEdges,6,4,0.9743835527768308,83362,false,53
LessArea,6,4,0.9407679822507393,414363,false,53
CuttingLargerAngle2,6,5,0.9920488358520314,48235,false,53
DistanceFromG,6,5,0.991153240766766,167506,false,53
CuttingEdges,6,5,0.9950009438777294,49508,false,53
LessArea,6,5,0.9595408643154106,331917,false,53
CuttingLargerAngle2,6,3,0.553646253915175,47927,false,22
DistanceFromG,6,3,0.43322623729009796,55373,false,22
CuttingEdges,6,3,0.28257200485561235,70011,false,22
LessArea,6,3,0.4119528534916277,231334,false,22
CuttingLargerAngle2,6,4,0.9192580797441465,42630,false,22
DistanceFromG,6,4,0.9152080516376597,163371,false,22
CuttingEdges,6,4,0.9300716908161053,99878,false,22
LessArea,6,4,0.4634319627348804,483091,false,22
CuttingLargerAngle2,6,5,0.9983302054646391,71115,false,22
DistanceFromG,6,5,0.9992639731391546,220180,false,22
CuttingEdges,6,5,0.9983302054646391,47491,false,22
LessArea,6,5,0.6335135658653333,240167,false,22
CuttingLargerAngle2,7,3,0.6235347980973146,56515,false,45
DistanceFromG,7,3,0.09973032107057447,111850,false,45
CuttingEdges,7,3,0.755881713120486,88160,false,45
LessArea,7,3,0.0,441925,false,45
CuttingLargerAngle2,7,4,0.7902067013812712,76948,false,45
DistanceFromG,7,4,0.7124612018521346,109084,false,45
CuttingEdges,7,4,0.8923662177631775,91934,false,45
LessArea,7,4,0.8212628220035253,471993,false,45
CuttingLargerAngle2,7,5,0.9277081902801462,67421,false,45
DistanceFromG,7,5,0.91895639342594,352452,false,45
CuttingEdges,7,5,0.9838102496688832,84498,false,45
LessArea,7,5,0.9838102496688832,779672,false,45
CuttingLargerAngle2,7,6,0.9916141624665782,85944,false,45
DistanceFromG,7,6,0.9267923472243423,595774,false,45
CuttingEdges,7,6,0.9962206800118625,95684,false,45
LessArea,7,6,0.9875086255370323,891221,false,45
CuttingLargerAngle2,7,3,0.5720446405201269,85340,false,43
DistanceFromG,7,3,0.45188567961983084,60685,false,43
CuttingEdges,7,3,0.6681591920791625,195320,false,43
LessArea,7,3,0.0,551175,false,43
CuttingLargerAngle2,7,4,0.8284445113005254,126492,false,43
DistanceFromG,7,4,0.7096457820767753,270424,false,43
CuttingEdges,7,4,0.8634613840101117,124754,false,43
LessArea,7,4,0.3570860436116073,714911,false,43
CuttingLargerAngle2,7,5,0.944118641015404,83793,false,43
DistanceFromG,7,5,0.9408412254389809,272447,false,43
CuttingEdges,7,5,0.979434333469644,81583,false,43
LessArea,7,5,0.7444996266151765,772134,false,43
CuttingLargerAngle2,7,6,0.957971904435842,191440,false,43
DistanceFromG,7,6,0.9837720332985069,520202,false,43
CuttingEdges,7,6,0.9974128453718436,69374,false,43
LessArea,7,6,0.9974128453718436,693721,false,43
CuttingLargerAngle2,7,3,0.4728767968487531,85837,false,52
DistanceFromG,7,3,0.4946443704042908,74995,false,52
CuttingEdges,7,3,0.46169110880454295,149042,false,52
LessArea,7,3,0.4289583055737034,322526,false,52
CuttingLargerAngle2,7,4,0.724507053174621,62567,false,52
DistanceFromG,7,4,0.5762499539442172,134172,false,52
CuttingEdges,7,4,0.8051091305902994,91416,false,52
LessArea,7,4,0.7660569763839898,516242,false,52
CuttingLargerAngle2,7,5,0.9890718453344628,189151,false,52
DistanceFromG,7,5,0.7818692857932384,267570,false,52
CuttingEdges,7,5,0.9961402254782179,87723,false,52
LessArea,7,5,0.7677482795489912,588958,false,52
CuttingLargerAngle2,7,6,0.9961427498358633,59412,false,52
DistanceFromG,7,6,0.9926837099380484,416524,false,52
CuttingEdges,7,6,0.9986708932990714,72058,false,52
LessArea,7,6,0.9986708932990714,382864,false,52
CuttingLargerAngle2,7,3,0.6937616230287018,64535,false,76
DistanceFromG,7,3,0.7175843788004023,68756,false,76
CuttingEdges,7,3,0.8710377308417788,275153,false,76
LessArea,7,3,0.8703404567743861,668945,false,76
CuttingLargerAngle2,7,4,0.8508915679486454,188281,false,76
DistanceFromG,7,4,0.8206499707813232,89774,false,76
CuttingEdges,7,4,0.9281625705220466,107242,false,76
LessArea,7,4,0.8848483910136126,453108,false,76
CuttingLargerAngle2,7,5,0.9065185902812454,70130,false,76
DistanceFromG,7,5,0.9167188742122803,130751,false,76
CuttingEdges,7,5,0.9811706688899207,46525,false,76
LessArea,7,5,0.9291814355663416,248003,false,76
CuttingLargerAngle2,7,6,0.9961197141290754,40995,false,76
DistanceFromG,7,6,0.9969254581541167,352787,false,76
CuttingEdges,7,6,0.9988586943053157,55228,false,76
LessArea,7,6,0.9821156627237536,260953,false,76
CuttingLargerAngle2,7,3,0.6478652101277548,72597,false,62
DistanceFromG,7,3,0.25580318899052146,57215,false,62
CuttingEdges,7,3,0.6022766333671759,96678,false,62
LessArea,7,3,0.0,682876,false,62
CuttingLargerAngle2,7,4,0.9070477165320143,74296,false,62
DistanceFromG,7,4,0.5556484372841075,116347,false,62
CuttingEdges,7,4,0.9641902515511135,110894,false,62
LessArea,7,4,0.5909364464718043,530457,false,62
CuttingLargerAngle2,7,5,0.9748283860495462,66421,false,62
DistanceFromG,7,5,0.9715298311548346,130576,false,62
CuttingEdges,7,5,0.9844464331348204,47353,false,62
LessArea,7,5,0.9399169606876323,271938,false,62
CuttingLargerAngle2,7,6,0.9935533509296458,27130,false,62
DistanceFromG,7,6,0.9769945007875757,234937,false,62
CuttingEdges,7,6,0.9977047304609149,70167,false,62
LessArea,7,6,0.9886995505548796,276742,false,62
CuttingLargerAngle2,8,3,0.6908661962423037,52335,false,73
DistanceFromG,8,3,0.04422412498122277,41184,false,73
CuttingEdges,8,3,0.8506440107358206,114647,false,73
LessArea,8,3,0.0,404416,false,73
CuttingLargerAngle2,8,4,0.866999306592568,54898,false,73
DistanceFromG,8,4,0.760322467577988,86936,false,73
CuttingEdges,8,4,0.9468258216062717,89641,false,73
LessArea,8,4,0.8592787251275545,442568,false,73
CuttingLargerAngle2,8,5,0.9018069947981875,86658,false,73
DistanceFromG,8,5,0.9223373892143608,238733,false,73
CuttingEdges,8,5,0.9885702557700983,109329,false,73
LessArea,8,5,0.8857154173877207,413955,false,73
CuttingLargerAngle2,8,6,0.9650629808661727,41531,false,73
DistanceFromG,8,6,0.9632567222472586,401464,false,73
CuttingEdges,8,6,0.9939964482219492,45799,false,73
LessArea,8,6,0.889786071894274,388450,false,73
CuttingLargerAngle2,8,7,0.9956579076279215,32435,false,73
DistanceFromG,8,7,0.9978969505783386,547922,false,73
CuttingEdges,8,7,0.9989203502988401,33945,false,73
LessArea,8,7,0.9946504927474045,331605,false,73
CuttingLargerAngle2,8,3,0.4957665389201147,45634,false,79
DistanceFromG,8,3,0.519398147065928,34758,false,79
CuttingEdges,8,3,0.0438226589337458,84537,false,79
LessArea,8,3,0.0,435740,false,79
CuttingLargerAngle2,8,4,0.8096173329846222,63309,false,79
DistanceFromG,8,4,0.5451740339886393,72754,false,79
CuttingEdges,8,4,0.8757699077154474,103878,false,79
LessArea,8,4,3.07132997252307E-6,611604,false,79
CuttingLargerAngle2,8,5,0.9246426865667694,86107,false,79
DistanceFromG,8,5,0.7881125474337097,130432,false,79
CuttingEdges,8,5,0.9879755796876714,66083,false,79
LessArea,8,5,0.8614461469259036,400221,false,79
CuttingLargerAngle2,8,6,0.987197009235382,59952,false,79
DistanceFromG,8,6,0.8434823940095219,238379,false,79
CuttingEdges,8,6,0.9952723575840603,62632,false,79
LessArea,8,6,0.8647319113085522,367629,false,79
CuttingLargerAngle2,8,7,0.9974339361720309,23025,false,79
DistanceFromG,8,7,0.9111713691297132,423762,false,79
CuttingEdges,8,7,0.9995823380215193,29412,false,79
LessArea,8,7,0.9635878076567143,360755,false,79
CuttingLargerAngle2,8,3,0.6545426332610313,61302,false,63
DistanceFromG,8,3,0.12169203502126073,33668,false,63
CuttingEdges,8,3,0.8439934304711358,102795,false,63
LessArea,8,3,0.8436902664787851,417123,false,63
CuttingLargerAngle2,8,4,0.8143832877466082,62152,false,63
DistanceFromG,8,4,0.642036162266189,74891,false,63
CuttingEdges,8,4,0.9220436624623524,67837,false,63
LessArea,8,4,0.8935838746715145,568176,false,63
CuttingLargerAngle2,8,5,0.9181177975356515,69770,false,63
DistanceFromG,8,5,0.7601834736770042,200319,false,63
CuttingEdges,8,5,0.9730476084339658,78111,false,63
LessArea,8,5,0.9068014931585292,586134,false,63
CuttingLargerAngle2,8,6,0.9519182429958585,32495,false,63
DistanceFromG,8,6,0.8634444672645535,263406,false,63
CuttingEdges,8,6,0.989893147296067,60293,false,63
LessArea,8,6,0.9420446418338934,646069,false,63
CuttingLargerAngle2,8,7,0.9850449943308716,26443,false,63
DistanceFromG,8,7,0.9786403779010063,450781,false,63
CuttingEdges,8,7,0.9963818559290657,87379,false,63
LessArea,8,7,0.9828712115931089,559575,false,63
CuttingLargerAngle2,8,3,0.6907731649541171,39584,false,50
DistanceFromG,8,3,0.6718581498210462,46513,false,50
CuttingEdges,8,3,0.8124056038191683,83557,false,50
LessArea,8,3,0.0,341912,false,50
CuttingLargerAngle2,8,4,0.8710453249185187,36746,false,50
DistanceFromG,8,4,0.785232014753919,75048,false,50
CuttingEdges,8,4,0.9485482768302541,115986,false,50
LessArea,8,4,0.8189868159533331,509104,false,50
CuttingLargerAngle2,8,5,0.9838860599501358,69883,false,50
DistanceFromG,8,5,0.87820983698795,221555,false,50
